Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Evolution Surface agricole utilisée (SAU) (2010-2020) 2020
200066660;CC de Saint-Flour;-2.5
200066678;CC de la Châtaigneraie Cantalienne;-0.1
200066710;CC Cingal-Suisse Normande;-0.9
200066728;CC Vallées de l'Orne et de l'Odon;7.6
200066744;CC Haute-Corrèze Communauté;3.1
200066751;CC Xaintrie Val'Dordogne;-0.6
200066769;CC Midi Corrézien;0
200066777;Ploërmel Communauté;1.3
200066785;CC de l'Oust à Brocéliande;0.5
200066793;CA du Grand Annecy;-2.2
200066801;CC Isigny-Omaha Intercom;0.1
200066819;CC du Volvestre;2.2
200066827;CC du Pays de Honfleur-Beuzeville;-8.2
200066835;CC de Sézanne-Sud Ouest Marnais;-1.6
200066850;CC des Paysages de la Champagne;-1
200066868;CC Presqu'île de Crozon-Aulne maritime;2.8
200066876;CA de Châlons-en-Champagne;0.6
200066884;CC Quercy Vert-Aveyron;-0.8
200066892;CC de Vendeuvre-Soulaines;-8.7
200066918;CA Alès Agglomération;2.2
200066926;CA Grand Auch Coeur de Gascogne;-0.4
200066975;CC Senlis Sud Oise;-8
200067023;CC Coutances Mer et Bocage;-2.3
200067031;CC Côte Ouest Centre Manche;-3
200067049;CC Spelunca-Liamone;-14.3
200067064;CC Decazeville Communauté;3.4
200067072;CC Haut-Léon Communauté;-1.3
200067080;CC Chablis Villages et Terroirs;-0.9
200067106;CA du Pays Basque;-3.9
200067114;CA de l'Auxerrois;0.7
200067122;CC du Pays de Lafrançaise;-3.2
200067130;CC de Puisaye-Forterre;-1
200067155;CC Saint Affricain, Roquefort, Sept Vallons;-1.6
200067163;CC Monts, Rance et Rougier;-2
200067171;CC Aubrac Carladez Viadène;0.5
200067189;CC Creuse Sud Ouest;0.5
200067197;CC Monts d'Arrée Communauté;-3
200067205;CA du Cotentin;-3.4
200067213;CU du Grand Reims;1.7
200067239;CC des Luys en Béarn;-2.5
200067247;CC Pleyben-Châteaulin-Porzay;-1.6
200067254;CA Pau Béarn Pyrénées;-5.8
200067262;CC du Haut Béarn;-0.5
200067288;CC du Béarn des Gaves;0.3
200067296;CC du Nord Est Béarn;-1.8
200067304;CC Serein et Armance;-1.4
200067320;CC Serre-Ponçon Val d'Avance;-3.2
200067346;CA Pornic Agglo Pays de Retz;0.8
200067361;CC Grand-Figeac;-1.2
200067379;CC Côtes de Champagne et Val de Saulx;0.1
200067429;CC Haut Nivernais - Val d'Yonne;-6.1
200067437;CA Provence-Alpes-Agglomération;-1.3
200067445;CC Buëch-Dévoluy;0
200067452;CC du Guillestrois et du Queyras;-13.6
200067460;CC Loudéac Communauté - Bretagne Centre;-1.9
200067478;CC Comtal Lot et Truyère;-3.3
200067486;CC Bouzonvillois-Trois Frontières;-1.7
200067502;CA Saint-Avold Synergie;4.3
200067544;CC Creuse Confluence;-0.4
200067551;CA Thonon Agglomération;-4.6
200067593;CC Marche et Combraille en Aquitaine;-0.5
200067627;CC Billom Communauté;-1.5
200067635;CA Clisson Sèvre et Maine Agglo;-0.4
200067643;CC Meurthe Mortagne Moselle;2
200067650;CC Houve - Pays Boulageois;3.1
200067668;CC de la Cléry, du Betz et de l'Ouanne;-2.4
200067676;CC Canaux et Forêts en Gâtinais;3.5
200067684;CA Epernay, Coteaux et Plaine de Champagne;1
200067692;CC Tannay-Brinon-Corbigny;1.4
200067700;CC Sud Nivernais;-3.6
200067742;CC Serre-Ponçon;4.2
200067759;CC Vallées et Plateau d'Ardenne;-1.8
200067767;CC du Royans-Vercors;2
200067783;CC de Hanau-La Petite Pierre;-1.1
200067791;CA L'Agglo Foix-Varilhes;-0.1
200067817;CC Saône-Beaujolais;-1.7
200067825;CA Gap-Tallard-Durance;0.9
200067841;CC de l'Alsace Bossue;1.6
200067866;CC Sèvre et Loire;-6.5
200067874;CA de Haguenau;-0.9
200067882;CC Bazois Loire Morvan;-1.5
200067890;CC Morvan Sommets et Grands Lacs;0.3
200067908;CC Amognes Coeur du Nivernais;4.8
200067916;CC Coeur de Loire;1.1
200067924;CC du Canton d'Erstein;-3.1
200067932;CA Golfe du Morbihan - Vannes Agglomération;1.2
200067940;CC Couserans-Pyrénées;1.9
200067957;CC Haut Chemin - Pays de Pange;0.1
200067965;CA de la Région de Compiègne et de la Basse Automne;9.8
200067973;CC Thelloise;-1.4
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;-2.8
200067999;CA du Beauvaisis;-1.5
200068005;CC de l'Oise Picarde;-2
200068047;CA Creil Sud Oise;-9.2
200068070;CC Loue-Lison;-2.1
200068088;CC Les Bertranges;-3
200068096;CC Champsaur-Valgaudemar;10.2
200068104;CA de la Provence Verte;23.3
200068112;CC du Pays de Saverne;2.3
200068120;CA Quimper Bretagne Occidentale;-0.5
200068146;CC Sarrebourg Moselle Sud;-1
