Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Nombre de licenciés sportifs pour 100 habitants 2022
200067627;CC Billom Communauté;25.9
200067635;CA Clisson Sèvre et Maine Agglo;32.3
200067643;CC Meurthe Mortagne Moselle;23.2
200067650;CC Houve - Pays Boulageois;20.4
200067668;CC de la Cléry, du Betz et de l'Ouanne;14.5
200067676;CC Canaux et Forêts en Gâtinais;17.1
200067684;CA Epernay, Coteaux et Plaine de Champagne;21.9
200067692;CC Tannay-Brinon-Corbigny;15.7
200067700;CC Sud Nivernais;23
200067742;CC Serre-Ponçon;35.3
200067759;CC Vallées et Plateau d'Ardenne;16.5
200067767;CC du Royans-Vercors;22.7
200067783;CC de Hanau-La Petite Pierre;18
200067791;CA L'Agglo Foix-Varilhes;29
200067817;CC Saône-Beaujolais;21.8
200067825;CA Gap-Tallard-Durance;29.5
200067841;CC de l'Alsace Bossue;17.5
200067866;CC Sèvre et Loire;31.4
200067874;CA de Haguenau;22.8
200067882;CC Bazois Loire Morvan;15.7
200067890;CC Morvan Sommets et Grands Lacs;16.9
200067908;CC Amognes Coeur du Nivernais;20.9
200067916;CC Coeur de Loire;17.6
200067924;CC du Canton d'Erstein;26.1
200067932;CA Golfe du Morbihan - Vannes Agglomération;32.4
200067940;CC Couserans-Pyrénées;21.4
200067957;CC Haut Chemin - Pays de Pange;28.5
200067965;CA de la Région de Compiègne et de la Basse Automne;22.9
200067973;CC Thelloise;23.1
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;24.1
200067999;CA du Beauvaisis;21.1
200068005;CC de l'Oise Picarde;17.4
200068047;CA Creil Sud Oise;15.7
200068070;CC Loue-Lison;20.4
200068088;CC Les Bertranges;22.3
200068096;CC Champsaur-Valgaudemar;29.2
200068104;CA de la Provence Verte;20.6
200068112;CC du Pays de Saverne;24.8
200068120;CA Quimper Bretagne Occidentale;24.6
200068146;CC Sarrebourg Moselle Sud;21.8
200068229;CC des Baronnies en Drôme Provençale;15.8
200068278;CC Berry Loire Puisaye;18.2
200068294;CC des Deux Vallées Vertes;18.3
200068369;CC de Mirecourt Dompaire;20.6
200068377;CC de la Porte des Vosges Méridionales;23.6
200068435;CC Coeur du Perche;16.9
200068443;CC Andaine - Passais;18.9
200068450;Terres d'Argentan Interco;23.1
200068468;CC des Pays de L'Aigle;22.8
200068484;CC des Causses à l'Aubrac;26.6
200068500;CA de Cambrai;19
200068534;CC Terroir de Caux;19.4
200068542;CC Les Balcons du Dauphiné;22.5
200068559;CC de l'Ouest Vosgien;17.4
