Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2021
200068963;CC Maine Coeur de Sarthe;7
200068989;CA Dinan Agglomération;10.2
200068997;CA Arlysère;11.8
200069003;CC du Barséquanais en Champagne;12.8
200069029;CA des Deux Baies en Montreuillois;13.5
200069037;CA du Pays de Saint-Omer;16.9
200069052;CA Grand Belfort;18.1
200069060;CC des Vosges du Sud;10.6
200069086;CC Leff Armor Communauté;10.4
200069094;CC Isle et Crempse en Périgord;16.6
200069102;CC Randon - Margeride;14.1
200069110;CA du Grand Chambéry;12.5
200069128;CC Mont Lozère;17.5
200069136;CC des Cévennes au Mont Lozère;30.1
200069144;CC des Hautes Terres de l'Aubrac;18.2
200069151;CC Gorges Causses Cévennes;19.3
200069169;CC Dômes Sancy Artense;14
200069177;CC Mond'Arverne Communauté;6.2
200069185;CC des Terres d'Apcher-Margeride-Aubrac;13.9
200069193;CC de la Dombes;7.1
200069227;CC Pays Fort Sancerrois Val de Loire;12.5
200069235;CC du Haut Pays du Montreuillois;17.2
200069250;CA Troyes Champagne Métropole;18.7
200069268;CC Aubrac Lot Causses Tarn;13
200069300;CA Tarbes-Lourdes-Pyrénées;16.9
200069383;Ouest Aveyron Communauté;16.3
200069391;CA Lamballe Terre et Mer;9.1
200069409;CA Saint-Brieuc Armor Agglomération;12
200069417;CC Pays d'Orthe et Arrigans;12
200069425;CA Mont-Saint-Michel-Normandie;12.6
200069433;CC de Vezouze en Piémont;17.2
200069441;CC du Pays de Bitche;11
200069458;CC des Vallées d'Auge et du Merlerault;18.6
200069482;CC des Campagnes de l'Artois;10
200069516;CC Seulles Terre et Mer;6
200069524;CC Pré-Bocage Intercom;10.6
200069532;CA Lisieux Normandie;14.8
200069540;CC Norge et Tille;5
200069565;CC des Lacs et Montagnes du Haut-Doubs;5
200069581;CC Convergence Garonne;10.8
200069599;CC Rurales de l'Entre-Deux-Mers;15.4
200069615;CC Bresse Haute Seille;9.3
200069623;CC Champagnole Nozeroy Jura;10.9
200069631;CC Terres de Chalosse;11.2
200069649;CC Chalosse Tursan;10.9
200069656;CC Coeur Haute Lande;14.9
200069664;CC Meuse Rognon;13.8
200069672;CC du Ternois;18.1
200069698;CC Mâconnais - Tournugeois;11.4
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;14.9
200069730;CC des Quatre Rivières en Bray;14.6
200069748;CC Val de Gâtine;11.9
200069755;CC Mellois en Poitou;13.4
200069763;CC du Haut Poitou;9.1
200069821;CA Fécamp Caux Littoral Agglomération;13.8
200069839;CC de la Côte d'Albâtre;12.3
200069847;CC Plateau de Caux;9.3
200069854;CU du Grand Poitiers;16
200069912;CC des Forêts du Perche;12.2
200069953;CC des Portes Euréliennes d'Ile de France;7
200069961;CC du Grand Châteaudun;14.6
200069995;CC Médoc Coeur de Presqu'île;15
200070035;CC du Civraisien en Poitou;16.3
200070043;CC Vienne et Gartempe;16.2
200070068;CC Bray-Eawy;13
200070092;CA du Libournais;15.6
200070100;CC du Val de Sully;11.8
200070118;CC Val de Saône Centre;6.1
200070126;CC Seine et Aube;9.5
200070142;CC Lyons Andelle;9.3
200070159;CC Coeur de Beauce;9.4
200070167;CC Terres de Perche;14
200070183;CC des Terres du Val de Loire;7.7
