Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2021
248900664;CC de la Vanne et du Pays d'Othe;12.7
248900748;CC du Gâtinais en Bourgogne;9.4
248900896;CC Yonne Nord;10.3
248900938;CC du Jovinien;18.7
249000241;CC du Sud Territoire;12.4
249100074;CC du Pays de Limours (CCPL);5
249100157;CC des 2 Vallées;5.7
249100546;CC du Val d'Essonne (CCVE);6.4
249100553;CC Entre Juine et Renarde (CCEJR);5
249100595;CC le Dourdannais en Hurepoix (CCDH);8.7
249500109;CA de Cergy-Pontoise;16.9
249500430;CC Sausseron Impressionnistes;5.7
249500455;CC de la Vallée de l'Oise et des Trois Forêts;8
249500489;CC du Haut Val d'Oise;15.4
249500513;CC du Vexin-Val de Seine;8.5
249710047;CC de Marie-Galante;N/A - résultat non disponible
249710062;CA du Nord Basse-Terre;N/A - résultat non disponible
249710070;CA Grand Sud Caraïbe;N/A - résultat non disponible
249720053;CA de l'Espace Sud de la Martinique;26.4
249720061;CA du Centre de la Martinique;24.7
249730037;CC de l'Ouest Guyanais;N/A - résultat non disponible
249730045;CA du Centre Littoral;N/A - résultat non disponible
249730052;CC de l'Est Guyanais;N/A - résultat non disponible
249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);36.3
249740085;CA du Sud;39.3
249740093;CA Intercommunale de la Réunion Est (CIREST);44.3
249740101;CA Territoire de la Côte Ouest (TCO);32.1
249740119;CA Intercommunale du Nord de la Réunion (CINOR);33
75056;Paris;16
