Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des ménages d'une seule personne 2022
249720061;CA du Centre de la Martinique;43.4
249730037;CC de l'Ouest Guyanais;17.3
249730045;CA du Centre Littoral;28.5
249730052;CC de l'Est Guyanais;16.6
249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);29.4
249740085;CA du Sud;31
249740093;CA Intercommunale de la Réunion Est (CIREST);27
249740101;CA Territoire de la Côte Ouest (TCO);27.9
249740119;CA Intercommunale du Nord de la Réunion (CINOR);35
75056;Paris;53.1
