Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Municipales - Taux de participation au 1er tour 2020
200068146;CC Sarrebourg Moselle Sud;55
200068229;CC des Baronnies en Drôme Provençale;56
200068278;CC Berry Loire Puisaye;44.7
200068294;CC des Deux Vallées Vertes;57.1
200068369;CC de Mirecourt Dompaire;61.1
200068377;CC de la Porte des Vosges Méridionales;41.8
200068435;CC Coeur du Perche;51.6
200068443;CC Andaine - Passais;49.4
200068450;Terres d'Argentan Interco;49
200068468;CC des Pays de L'Aigle;44.9
200068484;CC des Causses à l'Aubrac;69.3
200068500;CA de Cambrai;45.5
200068534;CC Terroir de Caux;54.2
200068542;CC Les Balcons du Dauphiné;43.3
200068559;CC de l'Ouest Vosgien;56.9
200068567;CC Les Vals du Dauphiné;40.9
200068625;CC Alpes-Provence-Verdon "Sources de lumière";69.2
200068641;CA Le Muretain Agglo;42.1
200068658;CA de Chaumont;42.2
200068666;CA du Grand Saint-Dizier Der et Vallées;42.5
200068674;CA Grand Lac;42.2
200068682;CC Terre d'Eau;57.4
200068757;CA d'Epinal;46
200068765;CC du Sisteronais-Buëch;60.9
200068773;CC des Vosges côté Sud Ouest;65.7
200068781;CA Valence Romans Agglo;41.6
200068799;CC Intercom de la Vire au Noireau;43.3
200068807;CC du Bassin Auterivain Haut-Garonnais;49.4
200068815;CC Coeur de Garonne;55.3
200068831;Pays Ségali Communauté;59.8
200068856;CC des Hauts du Perche;57
200068864;CC de la Mossig et du Vignoble;48.7
200068872;CC Éguzon - Argenton - Vallée de la Creuse;59.2
200068880;CC Champagne Boischauts;62.2
200068914;CC La Rochefoucauld Porte du Périgord;46.8
200068922;CC du Confluent et des Coteaux de Prayssas;56.7
200068930;CC Fumel Vallée du Lot;52.1
200068948;CC Albret Communauté;55.9
200068955;CC Anjou Loir et Sarthe;45.2
200068963;CC Maine Coeur de Sarthe;44.8
200068989;CA Dinan Agglomération;51.6
200068997;CA Arlysère;43.9
200069003;CC du Barséquanais en Champagne;60.4
200069029;CA des Deux Baies en Montreuillois;48.6
200069037;CA du Pays de Saint-Omer;52.8
200069052;CA Grand Belfort;40.8
200069060;CC des Vosges du Sud;50.1
200069086;CC Leff Armor Communauté;56.5
200069094;CC Isle et Crempse en Périgord;59.2
200069102;CC Randon - Margeride;80.3
200069110;CA du Grand Chambéry;40.8
200069128;CC Mont Lozère;72.9
200069136;CC des Cévennes au Mont Lozère;69.2
200069144;CC des Hautes Terres de l'Aubrac;69.3
200069151;CC Gorges Causses Cévennes;68.7
200069169;CC Dômes Sancy Artense;75
200069177;CC Mond'Arverne Communauté;48.2
200069185;CC des Terres d'Apcher-Margeride-Aubrac;69.2
200069193;CC de la Dombes;48.1
200069227;CC Pays Fort Sancerrois Val de Loire;59.2
200069235;CC du Haut Pays du Montreuillois;75.2
200069250;CA Troyes Champagne Métropole;36.7
200069268;CC Aubrac Lot Causses Tarn;68.9
200069300;CA Tarbes-Lourdes-Pyrénées;44.9
200069383;Ouest Aveyron Communauté;58.5
200069391;CA Lamballe Terre et Mer;56.9
200069409;CA Saint-Brieuc Armor Agglomération;44.7
200069417;CC Pays d'Orthe et Arrigans;58.2
200069425;CA Mont-Saint-Michel-Normandie;52.7
200069433;CC de Vezouze en Piémont;63.3
200069441;CC du Pays de Bitche;61.6
200069458;CC des Vallées d'Auge et du Merlerault;55.4
200069482;CC des Campagnes de l'Artois;63.4
200069516;CC Seulles Terre et Mer;54.9
200069524;CC Pré-Bocage Intercom;48.2
200069532;CA Lisieux Normandie;45.3
200069540;CC Norge et Tille;45.8
200069565;CC des Lacs et Montagnes du Haut-Doubs;57.8
200069581;CC Convergence Garonne;49.5
200069599;CC Rurales de l'Entre-Deux-Mers;59.7
200069615;CC Bresse Haute Seille;60.4
200069623;CC Champagnole Nozeroy Jura;56
200069631;CC Terres de Chalosse;62.6
200069649;CC Chalosse Tursan;68.2
200069656;CC Coeur Haute Lande;59.7
200069664;CC Meuse Rognon;70.1
200069672;CC du Ternois;65.3
200069698;CC Mâconnais - Tournugeois;45.7
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;59.8
200069730;CC des Quatre Rivières en Bray;52.2
200069748;CC Val de Gâtine;53.7
200069755;CC Mellois en Poitou;47.3
200069763;CC du Haut Poitou;44.8
200069821;CA Fécamp Caux Littoral Agglomération;46.7
200069839;CC de la Côte d'Albâtre;59.8
200069847;CC Plateau de Caux;54.5
200069854;CU du Grand Poitiers;41.3
200069912;CC des Forêts du Perche;43.2
200069953;CC des Portes Euréliennes d'Ile de France;42.6
200069961;CC du Grand Châteaudun;44.5
