Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI (2025); ; 
Code;Libellé;Indicateur de dépendance économique 2022
200066678;CC de la Châtaigneraie Cantalienne;130
200066710;CC Cingal-Suisse Normande;102
200066728;CC Vallées de l'Orne et de l'Odon;101
200066744;CC Haute-Corrèze Communauté;126
200066751;CC Xaintrie Val'Dordogne;151
200066769;CC Midi Corrézien;131
200066777;Ploërmel Communauté;124
200066785;CC de l'Oust à Brocéliande;116
200066793;CA du Grand Annecy;93
200066801;CC Isigny-Omaha Intercom;121
200066819;CC du Volvestre;105
200066827;CC du Pays de Honfleur-Beuzeville;111
200066835;CC de Sézanne-Sud Ouest Marnais;120
200066850;CC des Paysages de la Champagne;110
200066868;CC Presqu'île de Crozon-Aulne maritime;130
200066876;CA de Châlons-en-Champagne;101
200066884;CC Quercy Vert-Aveyron;111
200066892;CC de Vendeuvre-Soulaines;117
200066918;CA Alès Agglomération;123
200066926;CA Grand Auch Coeur de Gascogne;120
200066975;CC Senlis Sud Oise;102
200067023;CC Coutances Mer et Bocage;132
200067031;CC Côte Ouest Centre Manche;130
200067049;CC Spelunca-Liamone;136
200067064;CC Decazeville Communauté;147
200067072;CC Haut-Léon Communauté;129
200067080;CC Chablis Villages et Terroirs;111
200067106;CA du Pays Basque;110
200067114;CA de l'Auxerrois;118
200067122;CC du Pays de Lafrançaise;115
200067130;CC de Puisaye-Forterre;141
200067155;CC Saint Affricain, Roquefort, Sept Vallons;125
200067163;CC Monts, Rance et Rougier;141
200067171;CC Aubrac Carladez Viadène;153
200067189;CC Creuse Sud Ouest;144
200067197;CC Monts d'Arrée Communauté;135
200067205;CA du Cotentin;107
200067213;CU du Grand Reims;95
200067239;CC des Luys en Béarn;110
200067247;CC Pleyben-Châteaulin-Porzay;106
200067254;CA Pau Béarn Pyrénées;103
200067262;CC du Haut Béarn;119
200067288;CC du Béarn des Gaves;135
200067296;CC du Nord Est Béarn;113
200067304;CC Serein et Armance;116
200067320;CC Serre-Ponçon Val d'Avance;113
200067346;CA Pornic Agglo Pays de Retz;126
200067361;CC Grand-Figeac;127
200067379;CC Côtes de Champagne et Val de Saulx;114
200067429;CC Haut Nivernais - Val d'Yonne;148
200067437;CA Provence-Alpes-Agglomération;123
200067445;CC Buëch-Dévoluy;129
200067452;CC du Guillestrois et du Queyras;109
200067460;CC Loudéac Communauté - Bretagne Centre;122
200067478;CC Comtal Lot et Truyère;133
200067486;CC Bouzonvillois-Trois Frontières;97
200067502;CA Saint-Avold Synergie;109
200067544;CC Creuse Confluence;139
200067551;CA Thonon Agglomération;92
200067593;CC Marche et Combraille en Aquitaine;148
200067627;CC Billom Communauté;100
200067635;CA Clisson Sèvre et Maine Agglo;99
200067643;CC Meurthe Mortagne Moselle;106
200067650;CC Houve - Pays Boulageois;100
200067668;CC de la Cléry, du Betz et de l'Ouanne;126
200067676;CC Canaux et Forêts en Gâtinais;124
200067684;CA Epernay, Coteaux et Plaine de Champagne;106
200067692;CC Tannay-Brinon-Corbigny;158
200067700;CC Sud Nivernais;138
200067742;CC Serre-Ponçon;126
200067759;CC Vallées et Plateau d'Ardenne;106
200067767;CC du Royans-Vercors;112
200067783;CC de Hanau-La Petite Pierre;109
200067791;CA L'Agglo Foix-Varilhes;112
200067817;CC Saône-Beaujolais;105
200067825;CA Gap-Tallard-Durance;114
200067841;CC de l'Alsace Bossue;108
200067866;CC Sèvre et Loire;94
200067874;CA de Haguenau;93
200067882;CC Bazois Loire Morvan;167
200067890;CC Morvan Sommets et Grands Lacs;156
200067908;CC Amognes Coeur du Nivernais;130
200067916;CC Coeur de Loire;141
200067924;CC du Canton d'Erstein;98
200067932;CA Golfe du Morbihan - Vannes Agglomération;121
200067940;CC Couserans-Pyrénées;134
200067957;CC Haut Chemin - Pays de Pange;103
200067965;CA de la Région de Compiègne et de la Basse Automne;97
200067973;CC Thelloise;96
