Observatoire des territoires - ANCT; ; 
Référentiel géographique : Bassins de vie (2012); ; 
Code;Libellé;Distance moyenne entre le domicile et le travail selon la CSP
40065;Capbreton;44.2
40088;Dax;24.4
40119;Hagetmau;25
40133;Labenne;29.7
40134;Labouheyre;29.8
40184;Mimizan;30.2
40192;Mont-de-Marsan;17.8
40194;Montfort-en-Chalosse;25.7
40197;Morcenx-la-Nouvelle;29.6
40201;Mugron;31.4
40217;Parentis-en-Born;36.8
40224;Peyrehorade;35.5
40233;Pouillon;31.4
40245;Roquefort;31.5
40282;Saint-Sever;23.6
40284;Saint-Vincent-de-Tyrosse;34.5
40310;Soustons;33.5
40313;Tartas;30
40331;Villeneuve-de-Marsan;20.3
41018;Blois;18.1
41025;Bracieux;22
41059;Le Controis-en-Sologne;21.5
41106;Lamotte-Beuvron;26.4
41136;Mer;24.3
41143;Mondoubleau;22.5
41149;Montoire-sur-le-Loir;24.3
41151;Montrichard;24.2
41167;Onzain;23
41194;Romorantin-Lanthenay;21
41198;Saint-Aignan;24.8
41232;Salbris;26.4
41242;Selles-sur-Cher;28.3
41269;Vendôme;24
42011;Balbigny;29.5
42019;Boën-sur-Lignon;24.2
42023;Bourg-Argental;20
42052;Charlieu;21.6
42059;Chazelles-sur-Lyon;20.6
42094;Feurs;25
42147;Montbrison;22.1
42149;Montrond-les-Bains;27.2
42159;Noirétable;29.1
42165;Panissières;23.2
42168;Pélussin;23.8
42187;Roanne;18.9
42204;Saint-Bonnet-le-Château;27.6
42218;Saint-Étienne;19.7
42279;Saint-Just-Saint-Rambert;21
43040;Brioude;20.2
43051;Le Chambon-sur-Lignon;25.5
43080;Craponne-sur-Arzon;25.9
43087;Dunières;22.2
43112;Langeac;22.4
43137;Monistrol-sur-Loire;25
43157;Le Puy-en-Velay;15.3
43162;Retournac;31.8
43177;Saint-Didier-en-Velay;19
43200;Saint-Julien-Chapteuil;19.6
43224;Sainte-Sigolène;16.1
43234;Saugues;12.9
43244;Tence;18.1
43268;Yssingeaux;22.5
44002;Aigrefeuille-sur-Maine;22.1
44003;Ancenis-Saint-Géréon;25.4
44015;Blain;28.6
44036;Châteaubriant;18.9
44043;Clisson;26.8
44051;Derval;31.7
44067;Guémené-Penfao;29.2
44072;Herbignac;24.7
44081;Legé;25.3
44087;Machecoul;23.7
44109;Nantes;20.3
44110;Nort-sur-Erdre;25.8
44113;Nozay;26.9
44129;Pontchâteau;26.8
44131;Pornic;32.1
44154;Saint-Brevin-les-Pins;26.7
44158;Saint-Étienne-de-Montluc;26.8
44161;Saint-Gildas-des-Bois;31.9
44169;Saint-Julien-de-Concelles;21
44180;Vallons-de-l'Erdre;22
44184;Saint-Nazaire;22.7
44186;Sainte-Pazanne;25.8
44187;Saint-Père-en-Retz;23.8
44188;Saint-Philbert-de-Grand-Lieu;24.1
44195;Savenay;30.4
44209;Treillières;25.2
44211;La Turballe;26.4
44212;Vallet;25.4
44213;Varades;26.5
44223;Geneston;23.5
45028;Beaugency;25.1
45030;Beaune-la-Rolande;31.8
45031;Bellegarde - Quiers-sur-Bézonde;31.7
45053;Briare;24.2
45082;Châteauneuf-sur-Loire;26.3
45083;Château-Renard;25.8
45085;Châtillon-Coligny;29.4
45115;Courtenay;35.6
45145;Ferrières-en-Gâtinais;36
45146;La Ferté-Saint-Aubin;25.2
45155;Gien;20
45173;Jargeau;25.9
45187;Lorris;28.4
45191;Malesherbes;35.5
45203;Meung-sur-Loire;27.3
45208;Montargis;25.5
45224;Neuville-aux-Bois;26.6
45234;Orléans;18.4
45248;Patay;26.1
45252;Pithiviers;26.9
45258;Puiseaux;31.6
45315;Sully-sur-Loire;21.8
46029;Biars-sur-Cère;18.1
46042;Cahors;21.8
46102;Figeac;17.5
46127;Gourdon;26.4
46128;Gramat;20.8
46143;Lacapelle-Marival;21.1
