Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des emplois de la sphère présentielle et de la sphère productive 2021
248900383;CC de l'Agglomération Migennoise;57.9
248900524;CC de l'Aillantais en Bourgogne;63.4
248900664;CC de la Vanne et du Pays d'Othe;59.7
248900748;CC du Gâtinais en Bourgogne;51
248900896;CC Yonne Nord;71.4
248900938;CC du Jovinien;60.2
249000241;CC du Sud Territoire;55.3
249100074;CC du Pays de Limours (CCPL);66.6
249100157;CC des 2 Vallées;64.2
249100546;CC du Val d'Essonne (CCVE);73.1
249100553;CC Entre Juine et Renarde (CCEJR);54.8
249100595;CC le Dourdannais en Hurepoix (CCDH);66.6
249500109;CA de Cergy-Pontoise;64.6
249500430;CC Sausseron Impressionnistes;62
249500455;CC de la Vallée de l'Oise et des Trois Forêts;76.5
249500489;CC du Haut Val d'Oise;69.3
249500513;CC du Vexin-Val de Seine;74.8
249710047;CC de Marie-Galante;76.5
249710062;CA du Nord Basse-Terre;75.4
249710070;CA Grand Sud Caraïbe;83.8
249720053;CA de l'Espace Sud de la Martinique;77.9
249720061;CA du Centre de la Martinique;74.9
249730037;CC de l'Ouest Guyanais;81
249730045;CA du Centre Littoral;77.8
249730052;CC de l'Est Guyanais;87.3
249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);76.7
249740085;CA du Sud;80.5
249740093;CA Intercommunale de la Réunion Est (CIREST);81.7
249740101;CA Territoire de la Côte Ouest (TCO);73.8
249740119;CA Intercommunale du Nord de la Réunion (CINOR);79.6
75056;Paris;63.4
