Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des emplois de la sphère présentielle et de la sphère productive 2021
200049211;CC Conflent-Canigó;81.7
200049484;CC Berry Grand Sud;54.1
200050532;CC de Petite-Terre;85.5
200054807;Métropole d'Aix-Marseille-Provence;67
200055481;CC Beauce Val de Loire;57.2
200055655;CA Roissy Pays de France;67.9
200055887;CC Mayenne Communauté;54.6
200056232;CA Communauté Paris-Saclay;51.2
200056380;CA Plaine Vallée;78.7
200057859;CA Coeur d'Essonne Agglomération;66.6
200057867;Plaine Commune;64.5
200057875;Est Ensemble;72.3
200057941;#ParisEstMarne&Bois;72.3
200057958;CA Paris - Vallée de la Marne;66.7
200057966;Vallée Sud-Grand Paris;60.3
200057974;Grand Paris Seine Ouest;45.5
