Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des jeunes non insérés (ni en emploi, ni scolarisés - NEET) 2022
200066231;CC des Portes d'Ariège Pyrénées;17.1
200066280;CC du Pithiverais;17.5
200066322;CC Terres des Confluences;21.9
200066330;CC Terres du Haut Berry;14.9
200066348;CC du Minervois au Caroux;21.6
200066355;CA Sète Agglopôle Méditerranée;19.8
200066363;CC de la Haute Ariège;16.8
200066371;CC Causses et Vallée de la Dordogne;16.7
200066389;CA Saint-Lô Agglo;13.6
200066405;CC Roumois Seine;12
200066413;CC Intercom Bernay Terres de Normandie;17.5
200066462;CC Interco Normandie Sud Eure;18
200066512;CC Élan Limousin Avenir Nature;13.2
200066520;CC Ouest Limousin;17.2
200066553;CC du Haut-Languedoc;17
200066561;CC Sidobre Vals et Plateaux;13.9
200066587;CC des Monts du Lyonnais;8.2
200066603;CC du Pays de Lubersac-Pompadour;15.8
200066637;CC Hautes Terres;7.8
200066645;CC Vézère-Monédières-Millesources;12.8
200066652;CC Grand Sud Tarn-et-Garonne;14.1
200066660;CC de Saint-Flour;10.8
200066678;CC de la Châtaigneraie Cantalienne;12.5
200066710;CC Cingal-Suisse Normande;11.6
200066728;CC Vallées de l'Orne et de l'Odon;10
200066744;CC Haute-Corrèze Communauté;15
200066751;CC Xaintrie Val'Dordogne;12.9
200066769;CC Midi Corrézien;13
200066777;Ploërmel Communauté;12.9
200066785;CC de l'Oust à Brocéliande;11.7
200066793;CA du Grand Annecy;10.8
200066801;CC Isigny-Omaha Intercom;12.8
200066819;CC du Volvestre;15.4
200066827;CC du Pays de Honfleur-Beuzeville;14.5
200066835;CC de Sézanne-Sud Ouest Marnais;18.8
200066850;CC des Paysages de la Champagne;14.4
200066868;CC Presqu'île de Crozon-Aulne maritime;12.8
200066876;CA de Châlons-en-Champagne;17.2
200066884;CC Quercy Vert-Aveyron;15.9
200066892;CC de Vendeuvre-Soulaines;17.5
200066918;CA Alès Agglomération;19.4
200066926;CA Grand Auch Coeur de Gascogne;16.4
200066975;CC Senlis Sud Oise;12.7
200067023;CC Coutances Mer et Bocage;13.4
200067031;CC Côte Ouest Centre Manche;13.9
200067049;CC Spelunca-Liamone;22.2
200067064;CC Decazeville Communauté;19.1
200067072;CC Haut-Léon Communauté;12.8
200067080;CC Chablis Villages et Terroirs;15.3
200067106;CA du Pays Basque;13
200067114;CA de l'Auxerrois;16.8
200067122;CC du Pays de Lafrançaise;16.7
200067130;CC de Puisaye-Forterre;18.1
200067155;CC Saint Affricain, Roquefort, Sept Vallons;14.2
200067163;CC Monts, Rance et Rougier;11.9
200067171;CC Aubrac Carladez Viadène;7.5
200067189;CC Creuse Sud Ouest;16.8
200067197;CC Monts d'Arrée Communauté;16.6
200067205;CA du Cotentin;13.4
200067213;CU du Grand Reims;13.9
200067239;CC des Luys en Béarn;11.9
200067247;CC Pleyben-Châteaulin-Porzay;10.9
200067254;CA Pau Béarn Pyrénées;14.7
200067262;CC du Haut Béarn;14.6
200067288;CC du Béarn des Gaves;17.5
200067296;CC du Nord Est Béarn;12.2
200067304;CC Serein et Armance;19.7
200067320;CC Serre-Ponçon Val d'Avance;11.9
200067346;CA Pornic Agglo Pays de Retz;12
200067361;CC Grand-Figeac;14
200067379;CC Côtes de Champagne et Val de Saulx;21.1
200067429;CC Haut Nivernais - Val d'Yonne;23.5
200067437;CA Provence-Alpes-Agglomération;16.6
200067445;CC Buëch-Dévoluy;15.6
200067452;CC du Guillestrois et du Queyras;9.3
200067460;CC Loudéac Communauté - Bretagne Centre;14.1
200067478;CC Comtal Lot et Truyère;9.3
200067486;CC Bouzonvillois-Trois Frontières;12.2
200067502;CA Saint-Avold Synergie;18.5
200067544;CC Creuse Confluence;15.5
200067551;CA Thonon Agglomération;14.1
