Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des déplacements domicile-travail en voiture 2022
200066413;CC Intercom Bernay Terres de Normandie;82.7
200066462;CC Interco Normandie Sud Eure;85.8
200066512;CC Élan Limousin Avenir Nature;90.2
200066520;CC Ouest Limousin;83.1
200066553;CC du Haut-Languedoc;76.7
200066561;CC Sidobre Vals et Plateaux;84.5
200066587;CC des Monts du Lyonnais;83.9
200066603;CC du Pays de Lubersac-Pompadour;83.9
200066637;CC Hautes Terres;73
200066645;CC Vézère-Monédières-Millesources;77.3
200066652;CC Grand Sud Tarn-et-Garonne;89.9
200066660;CC de Saint-Flour;79.5
200066678;CC de la Châtaigneraie Cantalienne;81
200066710;CC Cingal-Suisse Normande;88.5
200066728;CC Vallées de l'Orne et de l'Odon;91.2
200066744;CC Haute-Corrèze Communauté;83.8
200066751;CC Xaintrie Val'Dordogne;80.2
200066769;CC Midi Corrézien;86.5
200066777;Ploërmel Communauté;86.7
200066785;CC de l'Oust à Brocéliande;85.1
200066793;CA du Grand Annecy;72.3
200066801;CC Isigny-Omaha Intercom;84.4
200066819;CC du Volvestre;86.4
200066827;CC du Pays de Honfleur-Beuzeville;85.6
200066835;CC de Sézanne-Sud Ouest Marnais;84.4
200066850;CC des Paysages de la Champagne;84.2
200066868;CC Presqu'île de Crozon-Aulne maritime;81.2
200066876;CA de Châlons-en-Champagne;75.8
200066884;CC Quercy Vert-Aveyron;87.6
200066892;CC de Vendeuvre-Soulaines;84.9
200066918;CA Alès Agglomération;87.4
200066926;CA Grand Auch Coeur de Gascogne;82
200066975;CC Senlis Sud Oise;78.6
200067023;CC Coutances Mer et Bocage;84.5
200067031;CC Côte Ouest Centre Manche;84.7
200067049;CC Spelunca-Liamone;82
200067064;CC Decazeville Communauté;87.1
200067072;CC Haut-Léon Communauté;83.3
200067080;CC Chablis Villages et Terroirs;82.3
200067106;CA du Pays Basque;79.4
200067114;CA de l'Auxerrois;78.6
200067122;CC du Pays de Lafrançaise;89.9
200067130;CC de Puisaye-Forterre;81.6
200067155;CC Saint Affricain, Roquefort, Sept Vallons;78.6
200067163;CC Monts, Rance et Rougier;72
200067171;CC Aubrac Carladez Viadène;68.8
200067189;CC Creuse Sud Ouest;80.2
200067197;CC Monts d'Arrée Communauté;81.2
200067205;CA du Cotentin;79.8
200067213;CU du Grand Reims;72.6
200067239;CC des Luys en Béarn;88.6
200067247;CC Pleyben-Châteaulin-Porzay;82.3
200067254;CA Pau Béarn Pyrénées;77
200067262;CC du Haut Béarn;83.3
200067288;CC du Béarn des Gaves;84.4
200067296;CC du Nord Est Béarn;89.9
200067304;CC Serein et Armance;85.2
200067320;CC Serre-Ponçon Val d'Avance;87.1
200067346;CA Pornic Agglo Pays de Retz;84.5
200067361;CC Grand-Figeac;82.5
200067379;CC Côtes de Champagne et Val de Saulx;89.6
