Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des surfaces selon l’occupation du sol 2018
200043396;CA Maubeuge Val de Sambre;8.1
200043404;CC du Sud Avesnois;42.8
200043438;CC de la Moivre à la Coole;4.3
200043495;CA du Pays de Laon;33.4
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;43.8
200043628;CC des Vallées du Clain;23.1
200043693;CC Terre Lorraine du Longuyonnais;28.3
200043776;CC Pyrénées audoises;80.5
200043974;CC du Sud Gironde;73.9
200043982;CC du Bazadais;73.8
200043990;CC Vallons de Haute-Bretagne Communauté;11.9
200044014;CC Creuse Grand Sud;49.7
200044030;CC des 7 Vallées;6.7
200044048;CC Osartis Marquion;2.6
200044253;CC du Bassin de Joinville en Champagne;40.9
200044394;CC du Réolais en Sud Gironde;20.3
200044469;CC du Pays de Mirepoix;41.5
200044618;CA Douaisis Agglo;6.1
200044691;CA du Nord Grande Terre;18.5
200046977;Métropole de Lyon;6.3
200048551;CC du Pays de Craon;2.3
200049187;CA du Grand Verdun;46.5
200049211;CC Conflent-Canigó;91.2
200049484;CC Berry Grand Sud;8.9
200050532;CC de Petite-Terre;6.3
200054807;Métropole d'Aix-Marseille-Provence;48
200055481;CC Beauce Val de Loire;12.2
200055655;CA Roissy Pays de France;7.4
200055887;CC Mayenne Communauté;6.1
200056232;CA Communauté Paris-Saclay;15
200056380;CA Plaine Vallée;20.5
200057859;CA Coeur d'Essonne Agglomération;17.1
200057867;Plaine Commune;0
200057875;Est Ensemble;0
200057941;#ParisEstMarne&Bois;0.1
200057958;CA Paris - Vallée de la Marne;27.9
200057966;Vallée Sud-Grand Paris;8.4
200057974;Grand Paris Seine Ouest;29.7
200057982;Paris Ouest La Défense;3.9
200057990;Boucle Nord de Seine;0.4
200058006;Grand Paris Sud Est Avenir;21.8
200058014;Grand-Orly Seine Bièvre;0.4
200058097;Paris Terres d'Envol;0
200058360;CC Entre Beauce et Perche;13.7
200058477;CA Val d'Yerres Val de Seine;32.4
200058485;CA Val Parisis;10.5
200058519;CA Saint Germain Boucles de Seine;34.7
200058782;CA de Saint Quentin en Yvelines;20.6
200058790;Grand Paris Grand Est;8.1
200059228;CA Grand Paris Sud Seine Essonne Sénart;18.6
200059392;CC Bièvre Isère;29
200059400;CC Porte Océane du Limousin;21.9
200059871;CC du Centre-Ouest;60.3
200059889;CU Grand Paris Seine et Oise;24.3
200060010;CA Mauges Communauté;3.7
200060457;CA de Dembeni / Mamoudzou;43.5
200060465;CA du Grand Nord de Mayotte;51.2
200060473;CC du Sud;66.2
200065563;CC Normandie-Cabourg-Pays d'Auge;4.6
200065589;CC Val ès Dunes;5.3
200065597;CU Caen la Mer;1.7
200065647;CA Pays de Montbéliard Agglomération;45.7
200065787;CC de Pont-Audemer / Val de Risle;21
200065886;Loire Forez Agglomération (LFA);39.4
200065894;CC de Forez-Est;15
200065928;CA Lannion-Trégor Communauté;11.3
200066009;CA Mulhouse Alsace Agglomération;34.5
200066017;CC Lieuvin Pays d'Auge;5.7
200066025;CC Alsace Rhin Brisach;25.4
200066033;CC Sud Alsace Largue;31.7
200066041;CC Sundgau;35.3
200066058;CA Saint-Louis Agglomération;22.7
200066108;CC des Portes de Meuse;40.5
200066116;CC Argonne-Meuse;37.9
200066124;CA Gaillac-Graulhet;19.3
200066132;CC du Pays de Stenay et du Val Dunois;35.4
200066140;CC de l'Aire à l'Argonne;31.1
200066157;CC de Commercy - Void - Vaucouleurs;40.9
200066165;CC Val de Meuse - Voie Sacrée;42.7
200066173;CC de Damvillers Spincourt;30.1
200066223;CC Arize Lèze;24.9
200066231;CC des Portes d'Ariège Pyrénées;10.8
200066280;CC du Pithiverais;13.4
200066322;CC Terres des Confluences;10.5
200066330;CC Terres du Haut Berry;24.2
200066348;CC du Minervois au Caroux;75.3
200066355;CA Sète Agglopôle Méditerranée;21.3
200066363;CC de la Haute Ariège;94.6
200066371;CC Causses et Vallée de la Dordogne;47.5
200066389;CA Saint-Lô Agglo;2.7
200066405;CC Roumois Seine;14
200066413;CC Intercom Bernay Terres de Normandie;19.2
200066462;CC Interco Normandie Sud Eure;20.5
200066512;CC Élan Limousin Avenir Nature;49.2
200066520;CC Ouest Limousin;38.6
200066553;CC du Haut-Languedoc;65.7
200066561;CC Sidobre Vals et Plateaux;55.5
200066587;CC des Monts du Lyonnais;11.9
200066603;CC du Pays de Lubersac-Pompadour;16.9
200066637;CC Hautes Terres;50.1
200066645;CC Vézère-Monédières-Millesources;58.7
200066652;CC Grand Sud Tarn-et-Garonne;12.4
200066660;CC de Saint-Flour;37.1
200066678;CC de la Châtaigneraie Cantalienne;39.6
200066710;CC Cingal-Suisse Normande;17.6
200066728;CC Vallées de l'Orne et de l'Odon;4.3
200066744;CC Haute-Corrèze Communauté;59
200066751;CC Xaintrie Val'Dordogne;56.3
200066769;CC Midi Corrézien;40.8
200066777;Ploërmel Communauté;17.1
200066785;CC de l'Oust à Brocéliande;22
200066793;CA du Grand Annecy;45.6
200066801;CC Isigny-Omaha Intercom;5.2
200066819;CC du Volvestre;11.7
200066827;CC du Pays de Honfleur-Beuzeville;11.8
200066835;CC de Sézanne-Sud Ouest Marnais;20.8
200066850;CC des Paysages de la Champagne;34.5
200066868;CC Presqu'île de Crozon-Aulne maritime;28.8
200066876;CA de Châlons-en-Champagne;8.3
200066884;CC Quercy Vert-Aveyron;22.4
200066892;CC de Vendeuvre-Soulaines;33.9
200066918;CA Alès Agglomération;61.7
200066926;CA Grand Auch Coeur de Gascogne;5.5
200066975;CC Senlis Sud Oise;45.9
200067023;CC Coutances Mer et Bocage;2.9
200067031;CC Côte Ouest Centre Manche;8.9
200067049;CC Spelunca-Liamone;93.6
200067064;CC Decazeville Communauté;46.3
200067072;CC Haut-Léon Communauté;5.2
200067080;CC Chablis Villages et Terroirs;33.5
200067106;CA du Pays Basque;50.4
200067114;CA de l'Auxerrois;23.7
200067122;CC du Pays de Lafrançaise;15
200067130;CC de Puisaye-Forterre;27.5
200067155;CC Saint Affricain, Roquefort, Sept Vallons;44.8
200067163;CC Monts, Rance et Rougier;48.7
